cohort_month,months_since_signup,active_customers,retention_pct
2023-05-01,2,60,77.92
2023-05-01,3,60,77.92
2023-05-01,4,52,67.53
2023-05-01,5,58,75.32
2023-05-01,6,57,74.03
2023-06-01,0,92,83.64
2023-06-01,1,92,83.64
2023-06-01,2,94,85.45
2023-06-01,3,77,70.00
2023-06-01,4,74,67.27
2023-06-01,5,66,60.00
2023-06-01,6,94,85.45
2023-07-01,0,70,77.78
2023-07-01,1,72,80.00
2023-07-01,2,61,67.78
2023-07-01,3,65,72.22
2023-07-01,4,61,67.78
2023-07-01,5,72,80.00
2023-07-01,6,85,94.44
2023-08-01,0,76,83.52
2023-08-01,1,67,73.63
2023-08-01,2,65,71.43
2023-08-01,3,64,70.33
2023-08-01,4,78,85.71
2023-08-01,5,87,95.60
2023-08-01,6,74,81.32
2023-09-01,0,64,71.91
2023-09-01,1,63,70.79
2023-09-01,2,62,69.66
2023-09-01,3,73,82.02
2023-09-01,4,79,88.76
2023-09-01,5,78,87.64
2023-09-01,6,74,83.15
2023-10-01,0,70,76.09
2023-10-01,1,66,71.74
2023-10-01,2,75,81.52
2023-10-01,3,81,88.04
2023-10-01,4,82,89.13
2023-10-01,5,77,83.70
2023-10-01,6,68,73.91
2023-11-01,0,72,81.82
2023-11-01,1,74,84.09
2023-11-01,2,80,90.91
2023-11-01,3,73,82.95
2023-11-01,4,68,77.27
2023-11-01,5,72,81.82
2023-11-01,6,77,87.50
2023-12-01,0,77,80.21
2023-12-01,1,86,89.58
2023-12-01,2,86,89.58
2023-12-01,3,83,86.46
2023-12-01,4,78,81.25
2023-12-01,5,83,86.46
2023-12-01,6,79,82.29
2024-01-01,0,91,93.81
2024-01-01,1,82,84.54
2024-01-01,2,81,83.51
2024-01-01,3,71,73.20
2024-01-01,4,81,83.51
2024-01-01,5,83,85.57
2024-01-01,6,83,85.57
2024-02-01,0,66,83.54
2024-02-01,1,58,73.42
2024-02-01,2,65,82.28
2024-02-01,3,71,89.87
2024-02-01,4,67,84.81
2024-02-01,5,65,82.28
2024-02-01,6,66,83.54
2024-03-01,0,76,82.61
2024-03-01,1,75,81.52
2024-03-01,2,75,81.52
2024-03-01,3,77,83.70
2024-03-01,4,77,83.70
2024-03-01,5,75,81.52
2024-03-01,6,56,60.87
2024-04-01,0,76,78.35
2024-04-01,1,77,79.38
2024-04-01,2,83,85.57
2024-04-01,3,78,80.41
2024-04-01,4,76,78.35
2024-04-01,5,74,76.29
2024-04-01,6,69,71.13
2024-05-01,0,67,78.82
2024-05-01,1,67,78.82
2024-05-01,2,72,84.71
2024-05-01,3,69,81.18
2024-05-01,4,66,77.65
2024-05-01,5,61,71.76
2024-05-01,6,64,75.29
2024-06-01,0,69,84.15
2024-06-01,1,64,78.05
2024-06-01,2,62,75.61
2024-06-01,3,53,64.63
2024-06-01,4,61,74.39
2024-06-01,5,66,80.49
2024-06-01,6,69,84.15
2024-07-01,0,62,86.11
2024-07-01,1,53,73.61
2024-07-01,2,53,73.61
2024-07-01,3,56,77.78
2024-07-01,4,48,66.67
2024-07-01,5,60,83.33
2024-07-01,6,64,88.89
2024-08-01,0,67,79.76
2024-08-01,1,63,75.00
2024-08-01,2,62,73.81
2024-08-01,3,61,72.62
2024-08-01,4,63,75.00
2024-08-01,5,74,88.10
2024-08-01,6,73,86.90
2024-09-01,0,54,62.07
2024-09-01,1,65,74.71
2024-09-01,2,61,70.11
2024-09-01,3,71,81.61
2024-09-01,4,79,90.80
2024-09-01,5,67,77.01
2024-09-01,6,84,96.55
2024-10-01,0,64,77.11
2024-10-01,1,58,69.88
2024-10-01,2,70,84.34
2024-10-01,3,77,92.77
2024-10-01,4,71,85.54
2024-10-01,5,73,87.95
2024-10-01,6,61,73.49
2024-11-01,0,55,70.51
2024-11-01,1,66,84.62
2024-11-01,2,68,87.18
2024-11-01,3,73,93.59
2024-11-01,4,66,84.62
2024-11-01,5,54,69.23
2024-11-01,6,69,88.46
2024-12-01,0,70,78.65
2024-12-01,1,78,87.64
2024-12-01,2,82,92.13
2024-12-01,3,75,84.27
2024-12-01,4,58,65.17
2024-12-01,5,71,79.78
2024-12-01,6,75,84.27
2025-01-01,0,79,91.86
2025-01-01,1,70,81.40
2025-01-01,2,76,88.37
2025-01-01,3,51,59.30
2025-01-01,4,78,90.70
2025-01-01,5,74,86.05
2025-01-01,6,77,89.53
2025-02-01,0,70,90.91
2025-02-01,1,65,84.42
2025-02-01,2,55,71.43
2025-02-01,3,66,85.71
2025-02-01,4,59,76.62
2025-02-01,5,61,79.22
2025-02-01,6,62,80.52
2025-03-01,0,81,82.65
2025-03-01,1,66,67.35
2025-03-01,2,80,81.63
2025-03-01,3,81,82.65
2025-03-01,4,75,76.53
2025-03-01,5,84,85.71
2025-03-01,6,68,69.39
2025-04-01,0,67,77.01
2025-04-01,1,78,89.66
2025-04-01,2,76,87.36
2025-04-01,3,73,83.91
2025-04-01,4,71,81.61
2025-04-01,5,63,72.41
2025-04-01,6,61,70.11
2025-05-01,0,81,86.17
2025-05-01,1,80,85.11
2025-05-01,2,73,77.66
2025-05-01,3,74,78.72
2025-05-01,4,58,61.70
2025-05-01,5,64,68.09
2025-05-01,6,0,0.00
2025-06-01,0,71,84.52
2025-06-01,1,72,85.71
2025-06-01,2,71,84.52
2025-06-01,3,61,72.62
2025-06-01,4,55,65.48
2025-06-01,5,0,0.00
2025-06-01,6,0,0.00
2025-07-01,0,62,84.93
2025-07-01,1,63,86.30
2025-07-01,2,50,68.49
2025-07-01,3,52,71.23
2025-07-01,4,0,0.00
2025-07-01,5,0,0.00
2025-07-01,6,0,0.00
2025-08-01,0,68,81.93
2025-08-01,1,55,66.27
2025-08-01,2,70,84.34
2025-08-01,3,0,0.00
2025-08-01,4,0,0.00
2025-08-01,5,0,0.00
2025-08-01,6,0,0.00
2025-09-01,0,62,71.26
2025-09-01,1,71,81.61
2025-09-01,2,0,0.00
2025-09-01,3,0,0.00
2025-09-01,4,0,0.00
2025-09-01,5,0,0.00
2025-09-01,6,0,0.00
2025-10-01,0,51,75.00
2025-10-01,1,0,0.00
2025-10-01,2,0,0.00
2025-10-01,3,0,0.00
2025-10-01,4,0,0.00
2025-10-01,5,0,0.00
2025-10-01,6,0,0.00
