cust_id,recency_days,frequency,monetary,recency_score,frequency_score,monetary_score,segment
50,5,98,9426.378542995453,4,4,2,Loyal
51,61,92,11287.956466794012,1,3,4,At Risk
52,1,86,6260.694475507737,5,2,1,Others
53,2,97,12980.330415809156,5,4,5,Champions
54,61,97,11565.934979760645,1,4,4,Loyal
55,15,94,11797.974485373494,3,3,4,Others
56,15,100,8211.012512683868,3,4,1,Loyal
57,17,74,9852.156998395918,3,1,3,Others
58,69,93,12447.954988527294,1,3,5,At Risk
59,23,85,9475.22003865242,2,1,2,Lost
60,52,95,11312.713977169993,1,3,4,At Risk
61,5,77,7047.751999378205,4,1,1,Others
62,3,97,8671.117481803893,5,4,1,Loyal
63,2,100,11000.667549228669,5,4,4,Champions
64,17,88,8042.571444153787,3,2,1,Others
65,10,82,7961.867953443529,4,1,1,Others
66,3,114,14734.889919877054,5,5,5,Champions
67,33,98,12471.519537496568,2,4,5,Loyal
68,1,89,11968.458057785034,5,2,5,Others
69,39,72,8754.854964375496,1,1,1,Lost
70,20,107,11134.794507610799,3,5,4,Loyal
71,145,92,7185.891476166248,1,3,1,Others
72,2,100,9382.84345703125,5,4,2,Loyal
73,24,84,10215.63254737854,2,1,3,Lost
74,8,95,11385.327941477299,4,3,4,Others
75,0,96,11119.166028690339,5,3,4,Others
76,2,90,9272.245417046546,5,2,2,Others
77,3,93,6863.711453056334,5,3,1,Others
78,52,74,8469.381477737426,1,1,1,Lost
79,8,82,8654.548484754561,4,1,1,Others
80,40,95,9524.973399639128,1,3,2,Others
81,2,109,9843.086450433731,5,5,3,Loyal
82,8,99,10044.546463274957,4,4,3,Loyal
83,1,96,11386.852024829386,5,3,4,Others
84,32,81,12254.28302490711,2,1,5,At Risk
85,22,97,12721.618041253092,3,4,5,Loyal
86,6,104,12376.511004424097,4,5,5,Champions
87,13,104,11702.496943676471,3,5,4,Loyal
88,15,91,6990.747532391549,3,3,1,Others
89,12,86,10370.475423049927,3,2,3,Others
90,15,92,9726.896965789794,3,3,2,Others
91,23,97,9196.423066329955,2,4,2,Loyal
92,22,101,11455.504479551317,3,4,4,Loyal
93,4,88,9368.606023788452,5,2,2,Others
94,7,109,11750.322004652025,4,5,4,Champions
95,8,95,9420.267035663128,4,3,2,Others
96,31,82,5421.87901980877,2,1,1,Lost
97,3,83,10065.687539196015,5,1,3,Others
98,33,106,11005.684473526479,2,5,4,Loyal
99,42,96,10388.945037496092,1,4,3,Loyal
100,8,83,9204.088490009308,4,1,2,Others
101,0,85,9607.170983457563,5,1,2,Others
102,8,102,7955.224933385849,4,5,1,Loyal
103,65,87,8713.36200146675,1,2,1,Lost
104,3,93,11008.826046800614,5,3,4,Others
105,3,103,11048.134433126452,5,5,4,Champions
106,2,92,10397.23346800804,5,3,3,Others
107,27,80,10780.581520986558,2,1,4,At Risk
108,42,96,11090.671028256416,1,4,4,Loyal
109,35,85,9733.107050704957,2,1,2,Lost
110,30,101,8716.867502737046,2,4,1,Loyal
111,18,87,9242.361516022682,3,2,2,Others
112,14,89,10077.424492931366,3,2,3,Others
113,5,79,9489.804037332535,4,1,2,Others
114,20,85,9609.316521406172,3,1,2,Others
115,55,104,10430.743487215042,1,5,3,Loyal
116,58,98,10793.009503626823,1,4,4,Loyal
117,0,112,13040.268515515327,5,5,5,Champions
118,36,98,11752.423004102708,2,4,4,Loyal
119,33,82,8040.8470277071,2,1,1,Lost
120,27,85,8464.600983905793,2,1,1,Lost
121,33,100,9781.425470066071,2,4,2,Loyal
122,6,83,9854.22698945999,4,1,3,Others
123,14,88,11005.479529714585,3,2,4,Others
124,9,84,12694.033559823036,4,1,5,Others
125,23,83,8250.504413294791,2,1,1,Lost
126,78,91,8933.104025816918,1,2,2,Lost
127,10,94,11361.858452391623,4,3,4,Others
128,17,83,6462.817981457709,3,1,1,Others
129,56,98,11952.493514585496,1,4,5,Loyal
130,12,90,12884.95594687462,3,2,5,Others
131,8,99,10175.46742563248,4,4,3,Loyal
132,2,102,14381.165500164032,5,5,5,Champions
133,2,95,10726.279468512534,5,3,3,Others
134,83,100,12794.696042966843,1,4,5,Loyal
135,20,90,7287.237991046907,3,2,1,Others
136,14,102,11091.795509433745,3,5,4,Loyal
137,8,117,11988.903561878205,4,5,5,Champions
138,64,78,9596.876064300535,1,1,2,Lost
139,8,89,7868.310505747795,4,2,1,Others
140,30,82,10480.934015607834,2,1,3,Lost
141,2,96,8746.575533914565,5,3,1,Others
142,44,103,13322.152943897245,1,5,5,Loyal
143,12,104,11823.945998072624,3,5,5,Loyal
144,69,77,10858.422985982896,1,1,4,At Risk
145,8,79,8425.154043006896,4,1,1,Others
146,62,95,9742.611001706124,1,3,2,Others
147,14,109,11144.300964617729,3,5,4,Loyal
148,8,92,9306.316032147408,4,3,2,Others
149,34,89,9155.423958563804,2,2,2,Lost
150,14,111,8431.382997655866,3,5,1,Loyal
151,59,115,10762.323484611512,1,5,4,Loyal
152,12,105,11403.21358492374,3,5,4,Loyal
153,51,87,10245.58203139305,1,2,3,Lost
154,8,82,9875.824935436249,4,1,3,Others
155,39,79,7668.5584774017325,1,1,1,Lost
156,13,103,11701.473958969116,3,5,4,Loyal
157,11,94,12347.989007759092,4,3,5,Others
158,82,102,7915.15251097679,1,5,1,Loyal
159,22,85,10062.006476259232,3,1,3,Others
160,23,98,9686.505534601212,2,4,2,Loyal
161,18,88,8173.039540624619,3,2,1,Others
162,33,80,7407.885460853576,2,1,1,Lost
163,44,90,9234.485498547556,1,2,2,Lost
164,4,103,10298.804914855958,5,5,3,Loyal
165,57,90,9765.779445958138,1,2,2,Lost
166,5,92,11567.635522699356,4,3,4,Others
167,27,97,10042.794934010508,2,4,3,Loyal
168,51,88,9884.52199320793,1,2,3,Lost
169,15,95,11316.61000814438,3,3,4,Others
170,11,102,10835.993477141856,4,5,4,Champions
171,1,87,8488.039944577218,5,2,1,Others
172,31,95,8919.712959146498,2,3,2,Others
173,1,99,10297.493453729154,5,4,3,Loyal
174,9,88,10824.875008654593,4,2,4,Others
175,3,75,7273.767448234558,5,1,1,Others
176,24,91,8278.448453879355,2,2,1,Lost
177,4,95,10049.698997044565,5,3,3,Others
178,19,100,9464.339996719358,3,4,2,Loyal
179,6,80,8844.110999155044,4,1,2,Others
180,24,99,8645.138507568836,2,4,1,Loyal
181,23,85,10605.579976916311,2,1,3,Lost
182,2,95,10809.070513916015,5,3,4,Others
183,5,79,9695.327033257485,4,1,2,Others
184,42,91,9389.818964278698,1,2,2,Lost
185,29,95,11700.584518885613,2,3,4,At Risk
186,9,80,7405.549974489212,4,1,1,Others
187,20,80,10468.79758257866,3,1,3,Others
188,7,87,9771.875568652153,4,2,2,Others
189,22,97,10504.698488593103,3,4,3,Loyal
190,19,90,13104.222483158112,3,2,5,Others
191,60,111,11004.439567422869,1,5,4,Loyal
192,23,79,10112.862443852422,2,1,3,Lost
193,17,84,7629.325028872491,3,1,1,Others
194,43,83,9890.983434343338,1,1,3,Lost
195,20,110,11018.174987173079,3,5,4,Loyal
196,7,76,7834.212991476057,4,1,1,Others
197,90,88,9608.016958546637,1,2,2,Lost
198,17,96,9086.0459966898,3,4,2,Loyal
199,16,104,11659.151033449172,3,5,4,Loyal
200,23,96,11467.343509125709,2,4,4,Loyal
201,18,100,11505.485037899016,3,4,4,Loyal
202,17,89,7970.997484827043,3,2,1,Others
203,51,96,11766.007441186906,1,4,4,Loyal
204,6,80,9450.731554222108,4,1,2,Others
205,25,99,10531.059975004195,2,4,3,Loyal
206,32,94,12136.169939708709,2,3,5,At Risk
207,8,90,9813.958386039734,4,2,2,Others
208,87,93,8989.382004427911,1,3,2,Others
209,66,82,10451.48746111393,1,1,3,Lost
210,146,97,9504.048954272268,1,4,2,Loyal
211,6,110,14175.591916048528,4,5,5,Champions
212,11,81,6086.741982722283,3,1,1,Others
213,0,86,10988.982068490983,5,2,4,Others
214,21,98,11124.289059829714,3,4,4,Loyal
215,9,93,10536.150002384187,4,3,3,Others
216,0,91,8457.488960826397,5,3,1,Others
217,23,93,8577.33651971817,2,3,1,Others
218,0,104,11694.47299287319,5,5,4,Champions
219,10,82,11703.562953329085,4,1,4,Others
220,2,77,10625.813534855843,5,1,3,Others
221,7,88,9137.000464510917,4,2,2,Others
222,6,82,9965.308482313158,4,1,3,Others
223,41,91,11475.346997642519,1,2,4,At Risk
224,0,103,14333.950642156604,5,5,5,Champions
225,6,88,8298.084944057464,4,2,1,Others
226,27,85,9910.625443959236,2,1,3,Lost
227,15,111,13201.602560853958,3,5,5,Loyal
228,16,112,9404.946039223672,3,5,2,Loyal
229,32,103,13776.186981725696,2,5,5,Loyal
230,3,90,11155.388942909241,5,2,4,Others
231,14,83,11511.415426540376,3,1,4,Others
232,16,88,9260.53399400711,3,2,2,Others
233,74,90,11841.518549680712,1,2,5,At Risk
234,58,94,9764.545473122595,1,3,2,Others
235,25,99,11003.736070322992,2,4,4,Loyal
236,29,103,11431.186956214906,2,5,4,Loyal
237,63,88,10569.846030187606,1,2,3,Lost
238,2,86,11069.030508112906,5,2,4,Others
239,9,115,11420.450563788416,4,5,4,Champions
240,34,96,12464.23844075203,2,4,5,Loyal
241,23,87,11445.52051843405,2,2,4,At Risk
242,3,98,12232.041443705557,5,4,5,Champions
243,4,94,13826.188461852074,4,3,5,Others
244,43,95,10118.632921290395,1,3,3,Others
245,11,97,13225.287601685524,4,4,5,Champions
246,10,80,9937.475934433938,4,1,3,Others
247,36,108,12180.610462069515,2,5,5,Loyal
248,25,80,9974.525984334945,2,1,3,Lost
249,34,105,15380.221959495546,2,5,5,Loyal
250,12,103,14187.478958630563,3,5,5,Loyal
251,16,90,9820.051458191872,3,2,2,Others
252,26,111,11755.345988035202,2,5,4,Loyal
253,32,97,10796.901039099694,2,4,4,Loyal
254,129,95,8670.744463825227,1,3,1,Others
255,10,81,7834.344492888452,4,1,1,Others
256,24,85,8357.804987239837,2,1,1,Lost
257,0,101,11091.793517589567,5,5,4,Champions
258,22,89,7225.448487281798,3,2,1,Others
259,2,98,9593.954029226303,5,4,2,Loyal
260,8,91,12423.015549373626,4,3,5,Others
261,24,104,9963.106971120833,2,5,3,Loyal
262,58,109,12104.70045003891,1,5,5,Loyal
263,28,96,9599.50897078514,2,4,2,Loyal
264,8,88,9297.781013321877,4,2,2,Others
265,23,99,13552.23901529312,2,4,5,Loyal
266,39,89,8954.20549674034,1,2,2,Lost
267,29,97,15128.59098100662,2,4,5,Loyal
268,53,95,11389.962491345406,1,3,4,At Risk
269,33,89,8516.381522917749,2,2,1,Lost
270,15,101,10170.788544654846,3,4,3,Loyal
271,10,94,11241.85848252773,4,3,4,Others
272,3,95,10180.327933168412,5,3,3,Others
273,33,107,13823.395061492922,2,5,5,Loyal
274,47,87,8825.3655244112,1,2,1,Lost
275,2,99,10611.323515403272,5,4,3,Loyal
276,17,108,11207.289970493315,3,5,4,Loyal
277,20,93,9173.799491763115,3,3,2,Others
278,27,96,10650.984992885593,2,4,3,Loyal
279,0,107,11322.665084147453,5,5,4,Champions
280,32,102,8940.792487049104,2,5,2,Loyal
281,2,93,9120.415010881425,5,3,2,Others
282,1,85,9998.201395130156,5,1,3,Others
283,41,99,16118.045497059824,1,4,5,Loyal
284,31,102,11514.206544446946,2,5,4,Loyal
285,3,97,8265.675543403624,5,4,1,Loyal
286,23,96,11790.680959081648,2,4,4,Loyal
287,3,96,9175.117010259628,5,3,2,Others
288,40,96,11637.907039880754,1,4,4,Loyal
289,20,85,10424.869980239866,3,1,3,Others
290,91,84,10410.944032692909,1,1,3,Lost
291,6,85,10176.223396682737,4,1,3,Others
292,10,93,9579.97501912117,4,3,2,Others
293,24,85,10243.194492268563,2,1,3,Lost
294,5,82,8455.940023684503,4,1,1,Others
295,34,92,11189.952027225496,2,3,4,At Risk
296,17,87,11855.276957535745,3,2,5,Others
297,65,81,8604.684468412397,1,1,1,Lost
298,82,102,10779.038980865478,1,5,4,Loyal
299,27,80,8100.683495938778,2,1,1,Lost
300,32,102,11063.60596575737,2,5,4,Loyal
301,23,122,14000.63697013855,2,5,5,Loyal
302,9,88,11827.46649701595,4,2,5,Others
303,22,74,6513.538005149364,2,1,1,Lost
304,30,86,9239.278448772431,2,2,2,Lost
305,35,88,8279.724983906744,2,2,1,Lost
306,38,91,11228.847047472,2,2,4,At Risk
307,37,87,10015.349486017229,2,2,3,Lost
308,12,88,12317.684903192521,3,2,5,Others
309,8,90,8752.132035017014,4,2,1,Others
310,15,104,11903.558468329902,3,5,5,Loyal
311,14,88,9515.391000413896,3,2,2,Others
312,16,92,9427.672502422332,3,3,2,Others
313,95,81,6940.812483978272,1,1,1,Lost
314,12,88,8179.321008372308,3,2,1,Others
315,1,94,12520.638034296035,5,3,5,Others
316,15,102,10127.537465810774,3,5,3,Loyal
317,34,71,6052.41101796627,2,1,1,Lost
318,34,91,8502.948500847817,2,2,1,Lost
319,45,108,12912.701954746244,1,5,5,Loyal
320,56,88,8918.944553613663,1,2,2,Lost
321,10,93,8777.111422634127,4,3,1,Others
322,74,93,8738.156446552277,1,3,1,Others
323,46,100,10828.057018709183,1,4,4,Loyal
324,0,111,12019.657570457459,5,5,5,Champions
325,51,83,8183.620056319235,1,1,1,Lost
326,28,103,9498.147987771035,2,5,2,Loyal
327,34,81,9726.378519678117,2,1,2,Lost
328,4,91,9712.671992778778,5,3,2,Others
329,5,96,10807.564914989469,4,3,4,Others
330,21,92,8389.198998212814,3,3,1,Others
331,11,96,10619.001518487928,4,4,3,Loyal
332,52,90,8329.864565241336,1,2,1,Lost
333,17,103,13019.934033346175,3,5,5,Loyal
334,35,115,11585.021553325656,2,5,4,Loyal
335,9,105,8257.57396109104,4,5,1,Loyal
336,43,88,11799.743462073806,1,2,4,At Risk
337,6,95,13740.411997985839,4,3,5,Others
338,6,95,10902.715466451644,4,3,4,Others
339,0,95,9295.533963632584,5,3,2,Others
340,9,92,13111.310521292686,4,3,5,Others
341,33,118,13801.734454560285,2,5,5,Loyal
342,13,97,11367.634076023101,3,4,4,Loyal
343,14,78,9735.886032128336,3,1,2,Others
344,33,95,11763.594516921043,2,3,4,At Risk
345,18,85,8082.857950043678,3,1,1,Others
346,4,103,9550.675917959215,4,5,2,Loyal
347,62,88,9707.978012704847,1,2,2,Lost
348,6,102,14551.705936479568,4,5,5,Champions
349,8,93,9298.318049573898,4,3,2,Others
350,5,92,11196.988936579226,4,3,4,Others
351,0,91,11086.3974973917,5,3,4,Others
352,25,93,11463.295538949968,2,3,4,At Risk
353,17,96,11699.830479574202,3,4,4,Loyal
354,14,96,11262.11854186058,3,3,4,Others
355,6,91,10507.852528357505,4,3,3,Others
356,7,107,13916.667900419236,4,5,5,Champions
357,29,98,13389.738021564483,2,4,5,Loyal
358,0,102,10053.250983977316,5,5,3,Loyal
359,34,102,12827.77506480217,2,5,5,Loyal
360,0,92,9250.138434028624,5,3,2,Others
361,23,86,9518.477465200425,2,2,2,Lost
362,62,81,11436.608501386641,1,1,4,At Risk
363,73,87,10969.726032066344,1,2,4,At Risk
364,33,98,12636.404959988595,2,4,5,Loyal
365,9,100,11775.244413232802,4,4,4,Champions
366,35,95,13247.482035779953,2,3,5,At Risk
367,12,96,10321.105008935927,3,3,3,Others
368,49,99,9217.069526958465,1,4,2,Loyal
369,33,115,14256.227974939346,2,5,5,Loyal
370,15,97,11460.347530913352,3,4,4,Loyal
371,31,87,8373.159489250182,2,2,1,Lost
372,60,108,13303.695464968683,1,5,5,Loyal
373,29,86,10712.215541315078,2,2,3,Lost
374,11,91,10219.555938100813,4,3,3,Others
375,1,99,11776.843014168739,5,4,4,Champions
376,14,77,9072.394030332565,3,1,2,Others
377,28,89,11155.603999400142,2,2,4,At Risk
378,16,85,9447.13148519993,3,1,2,Others
379,17,84,10212.961968183517,3,1,3,Others
380,54,81,11733.278961396216,1,1,4,At Risk
381,3,98,11529.307542753219,5,4,4,Champions
382,15,91,8763.525493383408,3,3,1,Others
383,33,109,10311.680917084219,2,5,3,Loyal
384,5,96,10294.82399892807,4,4,3,Loyal
385,20,85,9703.129446101188,3,1,2,Others
386,25,101,13146.054046106337,2,4,5,Loyal
387,42,79,9730.864545083046,1,1,2,Lost
388,1,79,7936.078477931023,5,1,1,Others
389,3,105,12005.885547757149,5,5,5,Champions
390,5,97,7491.857010006905,4,4,1,Loyal
391,66,89,9257.315425848963,1,2,2,Lost
392,56,78,8666.922515296936,1,1,1,Lost
393,26,95,8057.209523463248,2,3,1,Others
394,14,99,14354.44710640907,3,4,5,Loyal
395,34,84,10587.007046699524,2,1,3,Lost
396,0,87,11727.78496603966,5,2,4,Others
397,66,98,10802.765434575078,1,4,4,Loyal
398,9,87,10033.363944625855,4,2,3,Others
399,63,100,10421.64348011017,1,4,3,Loyal
400,6,93,8391.414483523367,4,3,1,Others
401,28,97,11461.309980130196,2,4,4,Loyal
402,17,92,10969.15699546337,3,3,4,Others
403,6,86,9929.308000922203,4,2,3,Others
404,24,100,14303.186460411549,2,4,5,Loyal
405,20,99,13438.297536230088,3,4,5,Loyal
406,9,86,7736.048951172828,4,2,1,Others
407,6,89,9673.716433811187,4,2,2,Others
408,8,88,7170.711537313462,4,2,1,Others
409,16,90,11117.768967199327,3,2,4,Others
410,31,103,12549.213580608368,2,5,5,Loyal
411,20,90,10804.905046367645,3,2,4,Others
412,5,90,7826.7754943609225,4,2,1,Others
413,64,74,9832.274546909328,1,1,3,Lost
414,2,97,14853.997008943557,5,4,5,Champions
415,30,94,10730.930979931354,2,3,3,Others
416,38,89,10735.881996679309,2,2,3,Lost
417,19,97,10733.723569130898,3,4,3,Loyal
418,0,81,9900.30837829113,5,1,3,Others
419,44,89,11831.683491182328,1,2,5,At Risk
420,31,79,9530.527056741714,2,1,2,Lost
421,24,83,11635.688059473037,2,1,4,At Risk
422,10,77,8753.412456560136,4,1,1,Others
423,46,92,11700.031001567839,1,3,4,At Risk
424,0,79,7169.868988895416,5,1,1,Others
425,26,99,12118.37043862343,2,4,5,Loyal
426,4,110,11892.39151272774,5,5,5,Champions
427,21,95,8786.066995763778,3,3,1,Others
428,9,84,8868.39345521927,4,1,2,Others
429,0,96,8858.5225025177,5,3,2,Others
430,7,101,9340.835905098915,4,4,2,Loyal
431,17,76,7529.325537943839,3,1,1,Others
432,15,75,7247.970501732827,3,1,1,Others
433,1,92,11821.722469520568,5,3,4,Others
434,1,97,7791.074468421934,5,4,1,Loyal
435,8,90,9456.711490368842,4,2,2,Others
436,77,97,11474.285540127754,1,4,4,Loyal
437,31,88,12639.644500303268,2,2,5,At Risk
438,15,92,10115.33258910179,3,3,3,Others
439,57,95,9288.240988790987,1,3,2,Others
440,23,108,10702.851472115517,2,5,3,Loyal
441,0,84,10553.876476287842,5,1,3,Others
442,52,114,12114.554013526442,1,5,5,Loyal
443,5,89,7629.817401599885,4,2,1,Others
444,47,97,12453.81743152142,1,4,5,Loyal
445,62,94,12167.126386928558,1,3,5,At Risk
446,1,88,7634.8279933452595,5,2,1,Others
447,8,97,10959.168011188507,4,4,4,Champions
448,27,109,13738.90797857046,2,5,5,Loyal
449,34,75,6664.387490749359,2,1,1,Lost
450,10,96,9674.48049817085,4,3,2,Others
451,25,79,10005.332009124755,2,1,3,Lost
452,9,103,8503.229915595051,4,5,1,Loyal
453,20,70,7397.56849565506,3,1,1,Others
454,15,107,11646.545599889756,3,5,4,Loyal
455,18,101,14566.640037536627,3,4,5,Loyal
456,0,114,14099.374478912356,5,5,5,Champions
457,37,89,7710.924973440171,2,2,1,Lost
458,5,95,12038.050063133238,4,3,5,Others
459,53,91,10520.019459962841,1,2,3,Lost
460,6,83,10390.918425178528,4,1,3,Others
461,28,96,10365.24053926468,2,4,3,Loyal
462,51,90,11015.196448922157,1,2,4,At Risk
463,1,100,11293.562499547008,5,4,4,Champions
464,8,94,12894.320475816727,4,3,5,Others
465,75,89,9754.05000886917,1,2,2,Lost
466,0,98,12148.242484188082,5,4,5,Champions
467,2,107,15235.564462828635,5,5,5,Champions
468,28,97,11202.696972846981,2,4,4,Loyal
469,1,94,9535.494455277923,5,3,2,Others
470,90,102,12619.931431078912,1,5,5,Loyal
471,4,94,8334.523509311675,5,3,1,Others
472,22,96,12246.226477026938,2,4,5,Loyal
473,21,90,9080.21745198965,3,2,2,Others
474,19,97,11864.785536861418,3,4,5,Loyal
475,0,102,12491.126974272727,5,5,5,Champions
476,3,100,10706.428561639783,5,4,3,Loyal
477,1,98,7901.581023311614,5,4,1,Loyal
478,5,80,8046.583029174804,4,1,1,Others
479,20,100,8816.26848641634,3,4,1,Loyal
480,35,96,10935.019461512566,2,4,4,Loyal
481,0,101,11226.232994270322,5,5,4,Champions
482,44,94,9045.014492487908,1,3,2,Others
483,22,102,13193.200997710228,3,5,5,Loyal
484,17,97,9195.428518104552,3,4,2,Loyal
485,51,83,9601.374962759017,1,1,2,Lost
486,6,96,11961.260455226895,4,4,5,Champions
487,39,91,12153.571938991545,1,2,5,At Risk
488,21,108,10438.31398909092,3,5,3,Loyal
489,8,106,11674.356006002425,4,5,4,Champions
490,2,88,8034.101529741288,5,2,1,Others
491,117,89,9400.88593223095,1,2,2,Lost
492,12,95,13431.08988580704,3,3,5,Others
493,43,108,10847.388013732434,1,5,4,Loyal
494,34,90,10122.854953980444,2,2,3,Lost
495,35,104,11878.001454138759,2,5,5,Loyal
496,4,100,11064.145915746687,5,4,4,Champions
497,5,93,8335.204488754274,4,3,1,Others
498,10,83,7663.0824895143505,4,1,1,Others
499,24,93,10033.940997350215,2,3,3,Others
500,31,100,8494.799043798446,2,4,1,Loyal
501,30,71,7164.956486535073,2,1,1,Lost
502,2,91,12389.12899737358,5,3,5,Others
503,34,90,11051.605485010148,2,2,4,At Risk
504,51,100,11159.61946541071,1,4,4,Loyal
505,4,96,9238.570487236975,5,3,2,Others
506,34,99,13257.966570854185,2,4,5,Loyal
507,13,103,11249.158028113841,3,5,4,Loyal
508,12,107,11189.987992739678,3,5,4,Loyal
509,58,105,15077.399988102912,1,5,5,Loyal
510,41,101,10889.556930804252,1,4,4,Loyal
511,46,99,12935.5350569129,1,4,5,Loyal
512,44,83,8676.61399230957,1,1,1,Lost
513,73,89,9417.430981516836,1,2,2,Lost
514,1,105,10172.24098110199,5,5,3,Loyal
515,2,96,12011.001995658873,5,3,5,Others
516,9,104,13660.910460138322,4,5,5,Champions
517,0,93,8627.912982845308,5,3,1,Others
518,37,92,8972.941048836708,2,3,2,Others
519,31,83,7456.730956745148,2,1,1,Lost
520,6,88,10429.227513480188,4,2,3,Others
521,23,93,10819.50753765106,2,3,4,At Risk
522,50,90,7248.745997786522,1,2,1,Lost
523,42,91,8700.580974626542,1,2,1,Lost
524,69,88,10596.93050649166,1,2,3,Lost
525,62,83,8349.091463494302,1,1,1,Lost
526,18,100,13908.121494817733,3,4,5,Loyal
527,12,94,11564.198036623,3,3,4,Others
528,24,90,10476.088502526283,2,2,3,Lost
529,73,103,10151.190968418121,1,5,3,Loyal
530,31,91,9641.632511997223,2,2,2,Lost
531,21,94,10923.745996236801,3,3,4,Others
532,14,105,10714.500959968565,3,5,3,Loyal
533,32,91,10961.012494325636,2,2,4,At Risk
534,80,86,8909.754445195198,1,2,2,Lost
535,13,98,11261.18299744129,3,4,4,Loyal
536,14,108,9616.619479560852,3,5,2,Loyal
537,14,82,8947.646552085878,3,1,2,Others
538,20,78,9991.143010258678,3,1,3,Others
539,5,96,9279.061980628967,4,4,2,Loyal
540,10,96,13693.05249979496,4,4,5,Champions
541,6,95,10880.314574933049,4,3,4,Others
542,8,98,11159.7245313406,4,4,4,Champions
543,48,92,10159.947530508041,1,3,3,Others
544,3,97,9257.616437792774,5,4,2,Loyal
545,3,92,12460.109471940994,5,3,5,Others
546,9,99,10613.590989279748,4,4,3,Loyal
547,0,87,8270.867509770393,5,2,1,Others
548,10,93,7951.119441986086,4,3,1,Others
549,14,83,11116.612494230272,3,1,4,Others
550,39,95,12449.762049293517,1,3,5,At Risk
551,10,115,10767.483974194527,4,5,4,Champions
552,18,98,12835.177957057951,3,4,5,Loyal
553,14,88,10542.13200750351,3,2,3,Others
554,2,84,7888.654538345338,5,1,1,Others
555,3,103,9871.859991216661,5,5,3,Loyal
556,47,104,10003.883516275884,1,5,3,Loyal
557,27,79,8975.74854412079,2,1,2,Lost
558,19,91,10210.275521874428,3,3,3,Others
559,26,114,15835.641997814178,2,5,5,Loyal
560,2,85,8892.337973117827,5,1,2,Others
561,23,90,10829.482477831843,2,2,4,At Risk
562,21,90,8652.006478452684,3,2,1,Others
563,17,96,9225.231526803971,3,4,2,Loyal
564,14,88,10392.494044566156,3,2,3,Others
565,10,93,10130.613980054855,4,3,3,Others
566,44,91,10311.680445480346,1,2,3,Lost
567,61,95,11197.287436318398,1,3,4,At Risk
568,0,111,12393.994441890714,5,5,5,Champions
569,0,99,8969.649498820301,5,4,2,Loyal
570,2,80,8455.608485984802,5,1,1,Others
571,1,103,12569.286103510858,5,5,5,Champions
572,1,82,10135.95348520279,5,1,3,Others
573,40,90,8712.171928024292,1,2,1,Lost
574,0,99,11830.879047441482,5,4,5,Champions
575,58,96,8972.612514066694,1,4,2,Loyal
576,21,81,8863.199442529676,3,1,2,Others
577,40,70,8390.33898587227,1,1,1,Lost
578,17,83,10576.982503461837,3,1,3,Others
579,2,89,10776.792084360122,5,2,4,Others
580,1,84,10891.928940629961,5,1,4,Others
